"Ar","Eignir alls","Eignir medaltal","Eignir midgildi","Fasteignir","Okutæki","Innlan","Verdbrjef","Adrar eignir","Skuldir alls","Skuldir medaltal","Skuldir midgildi","Ibudarlan","Adrar skuldir","Eigid fje alls (eignir – skuldir)","Eigid fje í fasteign","Eigid fje annad","Fjoldi í hop","Skuldsettir, medaltal skulda","Fjoldi skuldsettra"
"1997",86901,6.7,6.3,66432,8601,2351,6160,3358,60382,4.7,4.3,42394,17988,26519,24038,2482,12878,5.6,10824
"1998",91240,7.1,6.6,68350,9522,2813,7738,2817,64295,5,4.7,44572,19723,26945,23778,3167,12777,6,10760
"1999",102529,8.1,7.5,77552,10700,3919,7687,2671,73042,5.7,5.2,50148,22895,29486,27404,2082,12718,6.9,10663
"2000",114932,8.9,8.2,88580,11538,4292,7851,2671,80765,6.3,5.8,55526,25239,34166,33054,1113,12900,7.5,10832
"2001",130193,9.8,9.4,103752,11166,4745,7541,2989,92986,7,6.5,64889,28097,37207,38863,-1656,13266,8.3,11149
"2002",133926,10.2,9.8,107921,10426,5582,7463,2533,97103,7.4,6.9,68195,28909,36822,39726,-2904,13134,8.8,11069
"2003",144231,10.9,10.5,118259,10303,5462,7797,2410,106956,8.1,7.4,73764,33192,37275,44495,-7220,13209,9.6,11161
"2004",164999,12.6,11.8,134607,10847,6688,10305,2551,120356,9.2,8.9,80600,39756,44642,54007,-9364,13061,11.1,10834
"2005",211309,16.1,14.5,173298,12761,8225,14528,2498,144348,11,8.9,92569,51779,66961,80729,-13768,13160,13.6,10608
"2006",239400,17.2,14.7,189567,14374,9034,23071,3353,167544,12,9.4,108486,59058,71856,81081,-9224,13949,15.7,10638
"2007",293766,20.2,16.8,225712,17158,14344,33106,3447,201288,13.8,10.8,132482,68806,92478,93229,-751,14562,18.2,11032
"2008",313537,20.9,17.6,235995,18389,33346,22459,3348,266572,17.7,13.2,179993,86579,46965,56003,-9038,15028,23.7,11253
"2009",299865,20.5,17.9,232161,16495,31817,16333,3060,294151,20.1,15.6,196351,97800,5714,35809,-30095,14653,22.5,13089
"2010",272609,18.4,16,207374,15463,27106,19780,2886,292323,19.7,15.9,198059,94263,-19714,9315,-29029,14817,21,13929
"2011",275364,18.7,16.4,218433,14527,24953,14285,3165,264461,17.9,15.1,184052,80409,10903,34381,-23478,14739,19.1,13849
"2012",270943,18.7,16.5,221489,14024,21802,10819,2808,250201,17.3,14.7,176666,73535,20743,44824,-24081,14459,18.5,13517
"2013",268074,18.3,15.6,221670,13848,21083,8679,2793,242584,16.6,13.7,171582,71002,25491,50089,-24598,14618,18,13486
