"Ar","Eignir alls","Eignir medaltal","Eignir midgildi","Fasteignir","Okutæki","Innlan","Verdbrjef","Adrar eignir","Skuldir alls","Skuldir medaltal","Skuldir midgildi","Ibudarlan","Adrar skuldir","Eigid fje alls (eignir – skuldir)","Eigid fje í fasteign","Eigid fje annad","Fjoldi í hop","Skuldsettir, medaltal skulda","Fjoldi skuldsettra"
"1997",881904,6.1,4.1,588351,76958,62410,106346,47839,339001,2.3,0.5,224331,114670,542903,364020,178883,145263,4,84743
"1998",947930,6.5,4.3,617922,85367,72790,129451,42400,374220,2.6,0.6,242432,131788,573710,375490,198220,146682,4.3,87203
"1999",1083954,7.3,5,722130,96543,88910,133031,43340,424712,2.9,0.8,281339,143373,659242,440791,218451,148493,4.7,89887
"2000",1222575,8.1,5.5,830227,106805,103653,137413,44477,486473,3.2,0.9,318617,167857,736102,511610,224492,151505,5.2,92759
"2001",1395411,9.1,6.5,979333,104772,118932,142686,49687,561649,3.6,1,373274,188375,833762,606059,227703,154100,5.9,94512
"2002",1486474,9.6,6.9,1052343,103998,139289,147612,43233,601638,3.9,1.1,408997,192641,884836,643346,241490,155637,6.2,96552
"2003",1676563,10.6,7.7,1194650,108576,160381,167784,45172,678606,4.3,1.3,460380,218226,997957,734271,263686,158876,6.8,99659
"2004",1924819,12,8.6,1392089,118159,174602,192723,47245,782330,4.9,1.4,519514,262816,1142488,872575,269914,160946,7.8,100230
"2005",2508965,15,10.1,1861400,142012,195173,260709,49670,948850,5.7,1.4,612257,336593,1560115,1249144,310971,166756,9.3,101883
"2006",2897590,16.4,9.7,2098356,160895,229807,353266,55266,1153313,6.5,1.3,723079,430234,1744277,1375277,368999,176445,10.9,105538
"2007",3471164,19,10.6,2440535,188239,285704,494229,62458,1399810,7.7,1.5,861993,537818,2071353,1578542,492811,182271,12.8,109571
"2008",3784972,20.1,10.7,2508192,199970,685300,324751,66759,1748685,9.3,1.3,1084103,664582,2036286,1424088,612198,188283,16.4,106728
"2009",3877349,20.8,11.6,2585562,190425,668279,367193,65889,1999613,10.7,2.3,1195410,804204,1877735,1390153,487583,186025,14,142639
"2010",3554087,19,10.4,2349334,182382,582201,373704,66465,1998582,10.7,2.4,1206629,791953,1555505,1142705,412799,186686,13,153320
"2011",3736345,20.1,11.2,2581048,180842,536935,367933,69587,1886177,10.1,2.3,1182811,703366,1850169,1398238,451931,185890,12.5,150525
"2012",3968949,21,11.1,2827560,187909,513733,367085,72662,1921872,10.2,2.2,1223532,698340,2047077,1604028,443049,189095,12.4,154694
"2013",4120518,21.3,10.2,2971153,195527,518276,365783,69779,1926874,10,2,1242066,684808,2193644,1729087,464557,193231,12.3,156063
