"Ar","Eignir alls","Eignir medaltal","Eignir midgildi","Fasteignir","Okutæki","Innlan","Verdbrjef","Adrar eignir","Skuldir alls","Skuldir medaltal","Skuldir midgildi","Ibudarlan","Adrar skuldir","Eigid fje alls (eignir – skuldir)","Eigid fje í fasteign","Eigid fje annad","Fjoldi í hop","Skuldsettir, medaltal skulda","Fjoldi skuldsettra"
"1997",215798,2.7,0.4,132876,18147,25948,28276,10551,74596,0.9,0,47025,27571,141202,85851,55351,79420,2.4,30575
"1998",234668,2.9,0.4,143911,20632,28893,32456,8778,84790,1,0,53660,31131,149878,90251,59627,81521,2.6,32744
"1999",272604,3.3,0.5,169994,24042,35004,34090,9475,99301,1.2,0,63871,35430,173303,106123,67180,82938,2.9,34439
"2000",308554,3.6,0.5,198021,26774,39168,35137,9455,114674,1.4,0,73255,41418,193881,124765,69115,84591,3.2,35976
"2001",361359,4.2,0.5,242593,25861,45681,36503,10722,133966,1.6,0,86945,47021,227393,155648,71745,86197,3.6,36785
"2002",389028,4.5,0.5,263525,25496,51986,38248,9772,146423,1.7,0,97015,49408,242605,166510,76094,86665,3.9,37866
"2003",435846,5,0.5,299090,25852,58756,41938,10209,167768,1.9,0,110364,57404,268077,188726,79352,87938,4.3,39175
"2004",498924,5.5,0.5,349201,28174,62698,47757,11094,193751,2.2,0,129065,64685,305173,220136,85037,89903,4.9,39695
"2005",648654,6.9,0.5,468247,34029,71549,62782,12046,241014,2.5,0,154559,86455,407640,313688,93952,94627,5.9,40950
"2006",722899,7.1,0.4,514375,38004,82513,75072,12934,281452,2.8,0,177152,104299,441448,337223,104225,101849,6.6,42552
"2007",871714,8.2,0.4,605846,45554,96061,109078,15176,342967,3.2,0,217364,125603,528747,388482,140266,106312,7.6,45238
"2008",971013,8.8,0.9,617466,47708,219142,72194,14503,404723,3.7,0,257434,147289,566290,360032,206258,110001,9.4,43104
"2009",1005175,9.4,1,642687,45036,217719,84878,14854,474038,4.4,0.1,283588,190450,531137,359100,172038,106527,7.1,66775
"2010",939956,8.8,0.9,593659,42856,199503,89118,14820,504023,4.7,0.2,287598,216425,435933,306061,129872,106762,6.7,75624
"2011",993646,9.4,1,652474,42799,192096,91242,15035,481709,4.6,0.2,287367,194342,511938,365108,146830,105825,6.6,72975
"2012",1068434,9.9,1,724931,45172,190549,91610,16172,495020,4.6,0.2,299638,195381,573415,425293,148122,108394,6.5,76464
"2013",1124505,10.1,1,766126,47569,196209,97833,16767,500380,4.5,0.2,303083,197297,624125,463044,161081,111675,6.5,77179
