"Ar","Eignir alls","Eignir medaltal","Eignir midgildi","Fasteignir","Okutæki","Innlan","Verdbrjef","Adrar eignir","Skuldir alls","Skuldir medaltal","Skuldir midgildi","Ibudarlan","Adrar skuldir","Eigid fje alls (eignir – skuldir)","Eigid fje í fasteign","Eigid fje annad","Fjoldi í hop","Skuldsettir, medaltal skulda","Fjoldi skuldsettra"
"1997",301725,5.2,3.5,184220,32110,25807,30796,28794,107743,1.9,0.2,68774,38969,193982,115446,78536,58190,3.4,31316
"1998",311018,5.6,3.9,184867,35458,29897,33854,26941,113173,2.1,0.3,70609,42564,197845,114258,83587,55059,3.7,30721
"1999",328786,5.9,4,195829,37810,33711,35267,26169,123466,2.2,0.3,78353,45112,205321,117476,87845,55288,4,30938
"2000",354925,6.4,4.3,214761,40925,37679,34944,26617,138892,2.5,0.5,86876,52016,216033,127885,88148,55799,4.4,31874
"2001",393398,7,5.1,246608,39607,42435,35374,29375,155854,2.8,0.5,98891,56963,237544,147717,89827,55859,4.9,31909
"2002",414278,7.3,5.3,262120,39685,47978,37762,26733,166780,2.9,0.6,107854,58926,247498,154266,93232,56662,5.1,32708
"2003",467469,8.2,5.9,301600,41385,53899,42272,28313,189121,3.3,0.6,120764,68358,278347,180836,97511,57357,5.6,33568
"2004",527107,8.9,6.2,348656,44483,57369,47268,29331,214984,3.6,0.6,136914,78070,312123,211742,100381,58968,6.4,33710
"2005",649999,10.4,6.4,442097,51694,63772,62375,30060,260229,4.2,0.5,164441,95788,389770,277656,112114,62295,7.6,34346
"2006",754567,11.3,5.5,503145,58277,74300,86502,32343,320729,4.8,0.4,198963,121766,433837,304182,129656,66870,9,35785
"2007",896234,13.3,6.9,588429,68502,89735,112716,36852,387885,5.8,0.8,237488,150397,508349,350941,157408,67266,10.3,37602
"2008",1029186,14.9,7.8,627499,72711,219372,73256,36348,502776,7.3,0.6,302862,199915,526410,324637,201773,69035,13.7,36710
"2009",1076939,16.1,9.4,667679,69529,219585,83689,36457,592334,8.8,1.7,339695,252639,484605,327983,156622,67059,11.9,49569
"2010",998494,15,8.9,618895,66661,197444,78322,37173,586069,8.8,1.7,343772,242297,412425,275123,137302,66501,11,53348
"2011",1054259,15.9,9.6,687700,66383,182186,77646,40344,553877,8.4,1.6,340663,213214,500382,347037,153345,66104,10.7,51981
"2012",1104347,16.5,9.4,735142,68441,179386,78304,43074,559560,8.3,1.5,350697,208863,544787,384445,160342,67014,10.5,53382
"2013",1154625,16.5,7.7,773503,71119,181555,83619,44829,564731,8.1,1.3,357213,207518,589894,416289,173604,69953,10.3,54607
