,"Tekjur alls","Tekjur, meðaltal","Tekjur, miðgildi","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Skattar","Vaxta- og barnabætur","Skattar alls (skattar + vaxta- og barnabætur)","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Heildartekjur -Skattar alls)","Ráðstöfunartekjur (Heildartekjur -Skattar alls -Vaxtagjöld alls)","Fjöldi í hóp"
"1997",20288,3,2.5,16819,2150,1320,4806,-130,4676,677,276,15612,14659,6726
"1998",23598,3.3,2.8,19689,2331,1577,5567,-143,5424,804,300,18174,17069,7092
"1999",27911,3.7,3.1,22402,3806,1703,6587,-158,6429,986,357,21482,20139,7464
"2000",32800,4.1,3.4,26172,4540,2088,7795,-183,7612,1206,468,25188,23514,8014
"2001",41296,4.8,3.8,31073,7646,2577,9808,-211,9597,1497,681,31699,29521,8551
"2002",46212,5.2,4,35436,8013,2762,10658,-271,10387,1839,705,35825,33281,8962
"2003",51949,5.5,4.3,39122,9467,3360,11992,-268,11723,2054,777,40226,37394,9414
"2004",59877,6.1,4.7,43783,12309,3786,13890,-269,13621,2539,1010,46257,42707,9816
"2005",77121,7.4,5.1,50686,22401,4034,16204,-245,15959,2765,1249,61162,57148,10410
"2006",85785,7.8,5.5,58319,22958,4508,17994,-357,17637,2910,1647,68148,63591,10976
"2007",105149,9.3,6.1,65058,35022,5069,20279,-464,19815,3362,2177,85334,79794,11318
"2008",105738,8.9,6.7,72565,26700,6474,21937,-742,21195,4399,3127,84543,77017,11853
"2009",102463,8.5,6.7,71575,19190,11698,22734,-937,21797,5197,5535,80666,69934,12060
"2010",94280,7.7,6.4,73868,9005,11407,23422,-1441,21981,5601,4673,72299,62026,12318
"2011",103729,8.1,6.7,81515,8310,13904,27150,-1233,25918,5364,3821,77811,68627,12816
"2012",112364,8.5,6.8,89266,9450,13649,29594,-825,28769,6080,3881,83595,73634,13260
"2013",121226,8.9,7.1,96804,11557,12864,32042,-768,31274,6933,4087,89952,78932,13581
