,"Tekjur alls","Tekjur, meðaltal","Tekjur, miðgildi","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Skattar","Vaxta- og barnabætur","Skattar alls (skattar + vaxta- og barnabætur)","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Heildartekjur -Skattar alls)","Ráðstöfunartekjur (Heildartekjur -Skattar alls -Vaxtagjöld alls)","Fjöldi í hóp"
"1997",302568,2.1,1.5,240587,22696,39285,62429,-7558,54870,14175,3155,247698,230368,145263
"1998",337061,2.3,1.7,268959,24842,43260,70796,-7259,63537,15333,3505,273524,254686,146682
"1999",380433,2.6,1.8,295701,36271,48461,80674,-7285,73389,17512,4369,307044,285162,148493
"2000",428579,2.8,2,329688,44599,54292,92533,-8497,84036,20306,6075,344543,318162,151505
"2001",483562,3.1,2.2,370837,51945,60780,108425,-9196,99229,23270,7600,384333,353462,154100
"2002",518738,3.3,2.3,396258,53187,69292,113750,-10371,103379,26453,8594,415358,380311,155637
"2003",567467,3.6,2.4,418013,70535,78919,123569,-10303,113266,28795,8842,454201,416565,158876
"2004",616427,3.8,2.6,446997,83613,85817,136264,-10207,126057,34500,10109,490369,445761,160946
"2005",730217,4.4,2.8,506694,132773,90749,152612,-10479,142133,36781,13090,588084,538213,166756
"2006",858968,4.9,3.1,583184,176330,99454,175234,-12721,162512,36598,18662,696455,641195,176445
"2007",1046127,5.7,3.3,661817,268765,115545,199039,-15027,184012,42854,24612,862114,794648,182271
"2008",1062499,5.6,3.7,718198,210116,134184,212780,-19620,193161,53882,31061,869338,784396,188283
"2009",1021791,5.5,3.7,667455,152353,201982,211775,-21286,190489,59993,54778,831302,716531,186025
"2010",949513,5.1,3.6,681392,77519,190601,212401,-26277,186123,60259,46011,763390,657120,186686
"2011",1014189,5.5,3.8,730914,72387,210887,241119,-22035,219085,53849,31376,795104,709879,185890
"2012",1083507,5.7,4,789084,80170,214253,260427,-18843,241584,58005,30221,841923,753698,189095
"2013",1166062,6,4.2,851244,93333,221485,281841,-17513,264327,64670,32102,901734,804962,193231
