,"Tekjur alls","Tekjur, meðaltal","Tekjur, miðgildi","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Skattar","Vaxta- og barnabætur","Skattar alls (skattar + vaxta- og barnabætur)","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Heildartekjur -Skattar alls)","Ráðstöfunartekjur (Heildartekjur -Skattar alls -Vaxtagjöld alls)","Fjöldi í hóp"
"1997",13364,1.5,1.3,9623,386,3355,2175,-2192,-17,1103,158,13381,12120,9177
"1998",15316,1.7,1.4,11011,508,3798,2561,-2240,322,1214,183,14995,13597,9278
"1999",17409,1.8,1.6,12633,683,4094,3033,-2373,660,1454,264,16749,15030,9770
"2000",20230,2,1.7,14725,834,4671,3694,-2811,883,1788,368,19347,17192,10348
"2001",23455,2.1,1.9,17516,855,5084,4515,-3132,1383,2106,539,22072,19427,11007
"2002",25990,2.3,2,19067,900,6023,4819,-3458,1361,2408,630,24628,21590,11345
"2003",29188,2.5,2.1,20588,1711,6890,5431,-3570,1861,2668,662,27327,23997,11865
"2004",31271,2.6,2.3,21525,1947,7799,5918,-3621,2297,3232,753,28974,24990,11860
"2005",36055,3,2.5,25010,3065,7979,6809,-3857,2952,3590,997,33103,28515,12205
"2006",48628,3.6,2.8,32070,7806,8752,9018,-4550,4469,3779,1536,44159,38844,13602
"2007",54248,3.9,3.1,36740,7843,9665,9814,-4918,4896,4365,2163,49352,42825,13842
"2008",59153,4,3.4,41464,6287,11401,11187,-5845,5342,5288,2480,53811,46043,14720
"2009",61910,4,3.5,40072,4491,17347,11586,-6146,5440,5848,4444,56470,46178,15380
"2010",61876,3.9,3.5,42449,2221,17206,11664,-6748,4916,5756,3777,56960,47427,15738
"2011",63496,4.1,3.6,43332,2054,18111,12840,-6038,6802,4500,2498,56694,49696,15677
"2012",66915,4.3,3.8,46112,2600,18203,13546,-6415,7132,4809,2443,59783,52531,15632
"2013",71381,4.5,4,50332,2651,18398,14654,-6314,8341,5372,2470,63040,55198,15728
