,"Tekjur alls","Tekjur, meðaltal","Tekjur, miðgildi","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Skattar","Vaxta- og barnabætur","Skattar alls (skattar + vaxta- og barnabætur)","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Heildartekjur -Skattar alls)","Ráðstöfunartekjur (Heildartekjur -Skattar alls -Vaxtagjöld alls)","Fjöldi í hóp"
"1997",186316,2.1,1.5,146965,14873,24478,39779,-4874,34905,9735,1843,151411,139833,87073
"1998",213497,2.3,1.6,168553,17085,27860,46215,-4762,41453,10722,2055,172044,159266,91623
"1999",246777,2.7,1.9,189716,25516,31545,54289,-4792,49497,12515,2643,197280,182122,93205
"2000",281846,2.9,2,214827,31911,35108,63358,-5493,57865,14506,3825,223981,205650,95706
"2001",319416,3.3,2.2,242853,37304,39259,74051,-6011,68040,16890,4885,251377,229602,98241
"2002",341507,3.5,2.4,258760,37839,44908,76886,-6778,70107,19243,5588,271400,246569,98975
"2003",379370,3.7,2.5,275960,52101,51309,84678,-6725,77954,21033,5608,301416,274776,101519
"2004",413035,4.1,2.7,294855,62257,55922,93466,-6638,86828,25230,6587,326207,294390,101978
"2005",497015,4.8,2.9,335641,102663,58711,105449,-6514,98935,26617,8753,398080,362709,104461
"2006",580780,5.3,3.2,383717,132420,64643,119636,-7850,111786,26402,12758,468995,429835,109575
"2007",725324,6.3,3.5,445826,204892,74607,139996,-9186,130810,30809,16791,594515,546914,115005
"2008",718596,6,3.8,480439,152079,86078,146350,-12089,134261,38740,21186,584335,524409,119248
"2009",679867,5.7,3.8,439854,107852,132160,144000,-13294,130706,42835,37140,549160,469185,118966
"2010",626827,5.2,3.6,446758,55496,124573,143905,-17313,126593,43147,30961,500234,426127,120185
"2011",670400,5.6,3.8,479500,52679,138220,163465,-14504,148961,38499,21092,521439,461848,119786
"2012",715934,5.9,4,519627,56936,139372,176481,-12030,164451,41365,20261,551483,489856,122081
"2013",771165,6.3,4.2,560256,67653,143256,191371,-11156,180215,45919,21392,590950,523639,123278
