,"Tekjur alls","Tekjur, meðaltal","Tekjur, miðgildi","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Skattar","Vaxta- og barnabætur","Skattar alls (skattar + vaxta- og barnabætur)","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Heildartekjur -Skattar alls)","Ráðstöfunartekjur (Heildartekjur -Skattar alls -Vaxtagjöld alls)","Fjöldi í hóp"
"1997",27175,0.8,0.6,24939,388,1848,2893,-440,2453,379,136,24722,24207,35000
"1998",30455,0.9,0.7,27924,617,1914,3551,-462,3089,434,184,27366,26748,35336
"1999",33781,0.9,0.8,30972,577,2232,4110,-528,3581,580,256,30200,29363,35772
"2000",38276,1.1,0.9,35145,679,2452,4986,-622,4364,660,362,33912,32889,36131
"2001",39455,1.1,0.9,36621,506,2328,5528,-655,4872,686,385,34582,33511,36054
"2002",39539,1.1,0.9,35392,512,3635,5134,-715,4419,790,431,35121,33899,35929
"2003",40073,1.1,0.9,34980,940,4153,5006,-716,4290,887,340,35782,34555,36071
"2004",41762,1.2,0.9,36683,876,4203,5431,-726,4705,1066,357,37056,35633,36088
"2005",46327,1.3,1,41215,849,4263,6080,-775,5305,1162,441,41022,39419,36700
"2006",52624,1.4,1.1,47509,1234,3880,7251,-764,6486,1025,663,46137,44449,38294
"2007",60542,1.5,1.2,54087,1634,4821,7801,-789,7011,1212,854,53531,51465,39850
"2008",66886,1.6,1.2,57277,3580,6029,8753,-899,7854,1194,902,59032,56936,41738
"2009",59727,1.4,1.1,46704,2738,10284,6165,-813,5352,916,1379,54375,52079,41193
"2010",59672,1.4,1.1,48188,1538,9946,5974,-794,5179,634,765,54493,53094,41390
"2011",63023,1.6,1.3,52048,1499,9476,7057,-666,6391,482,444,56632,55705,40042
"2012",68558,1.7,1.4,57647,1529,9382,7824,-728,7096,474,431,61461,60557,40571
"2013",72896,1.8,1.5,62295,1548,9053,8528,-661,7868,448,442,65029,64139,40862
