"Ar","Eignir alls","Eignir medaltal","Eignir midgildi","Fasteignir","Okutæki","Innlan","Verdbrjef","Adrar eignir","Skuldir alls","Skuldir medaltal","Skuldir midgildi","Ibudarlan","Adrar skuldir","Eigid fje alls (eignir – skuldir)","Eigid fje í fasteign","Eigid fje annad","Fjoldi í hop","Skuldsettir, medaltal skulda","Fjoldi skuldsettra"
"1997",94984,10.5,8.7,64269,8495,4034,12260,5926,28521,3.2,1.9,17212,11309,66463,47057,19406,9025,3.9,7234
"1998",102183,11.1,9.2,68044,9291,4809,14375,5665,32380,3.5,2.4,19411,12970,69803,48633,21170,9227,4.3,7521
"1999",121453,12.8,10.5,81225,11042,6825,16306,6055,38774,4.1,2.9,23744,15030,82679,57481,25198,9513,4.9,7901
"2000",139863,14,11.4,95674,12557,7743,17667,6222,46333,4.6,3.4,28182,18151,93530,67492,26038,9996,5.5,8355
"2001",160199,15.5,12.8,113657,12626,8196,19015,6705,56281,5.4,4.2,34767,21513,103918,78890,25029,10365,6.5,8721
"2002",169786,15.9,13.2,122246,12746,10260,18852,5681,60954,5.7,4.6,38902,22052,108831,83344,25487,10688,6.7,9042
"2003",193938,17.3,14.2,139587,13642,13129,21096,6486,70019,6.2,5.1,45085,24935,123919,94502,29417,11237,7.4,9524
"2004",218635,19,15.7,160980,14532,13207,23147,6769,81373,7.1,6.2,51257,30115,137263,109723,27540,11519,8.5,9552
"2005",291861,24,19.4,219722,17360,15651,32046,7082,98861,8.1,6.2,61245,37616,193000,158477,34523,12165,10.1,9801
"2006",341334,25.9,20.5,251728,19425,19562,43436,7184,124459,9.4,6.8,73982,50478,216875,177746,39129,13180,12.1,10257
"2007",408802,30.2,23.1,293418,22072,23461,61657,8194,157835,11.7,7.9,88184,69652,250967,205235,45732,13531,14.9,10576
"2008",438016,31.2,24,304601,23280,60842,41687,7607,206848,14.8,8.9,114276,92572,231168,190325,40843,14018,19.7,10518
"2009",460220,32.7,24.9,323202,23223,58533,47484,7779,247374,17.6,11.3,133584,113790,212846,189618,23229,14086,19.5,12660
"2010",427138,30.2,23,295203,22607,50214,46387,12727,249189,17.6,11.9,141972,107216,177949,153231,24718,14164,18.6,13396
"2011",436339,31.1,24.2,319051,21790,41610,40631,13256,236299,16.9,12,142152,94147,200040,176899,23141,14014,18,13145
"2012",461803,32.5,25.5,348146,22450,38246,38580,14380,245735,17.3,12.6,152281,93454,216068,195865,20203,14223,18.3,13411
"2013",473122,32.8,25.9,362282,23470,39132,38980,9259,244324,16.9,12.7,157348,86976,228798,204934,23864,14425,18,13559
