"Ar","Eignir alls","Eignir medaltal","Eignir midgildi","Fasteignir","Okutæki","Innlan","Verdbrjef","Adrar eignir","Skuldir alls","Skuldir medaltal","Skuldir midgildi","Ibudarlan","Adrar skuldir","Eigid fje alls (eignir – skuldir)","Eigid fje í fasteign","Eigid fje annad","Fjoldi í hop","Skuldsettir, medaltal skulda","Fjoldi skuldsettra"
"1997",34495,3.8,3.2,28435,2871,770,1583,836,28517,3.1,2.2,21672,6845,5978,6762,-785,9177,4.2,6842
"1998",38695,4.2,3.6,30941,3308,1103,2644,698,31405,3.4,2.7,23810,7595,7290,7131,159,9278,4.4,7171
"1999",47432,4.9,4.2,38296,4005,1401,2940,790,37357,3.8,3.2,28070,9286,10075,10225,-150,9770,4.8,7714
"2000",55478,5.4,4.6,45365,4792,1637,2913,771,43304,4.2,3.6,32368,10935,12175,12996,-822,10348,5.3,8228
"2001",67152,6.1,5.5,56384,4889,1785,3157,937,52188,4.7,4.1,38971,13217,14964,17413,-2450,11007,6,8686
"2002",72011,6.3,5.7,61091,4791,2174,3140,815,56544,5,4.3,42216,14329,15466,18875,-3409,11345,6.3,8944
"2003",83228,7,6.2,70474,4989,2958,4014,794,65136,5.5,4.6,47465,17671,18092,23009,-4917,11865,7,9337
"2004",96753,8.2,7,80698,5332,3818,6148,758,72000,6.1,5.1,52589,19411,24753,28108,-3355,11860,7.7,9374
"2005",126972,10.4,8.4,107330,6611,4181,8008,841,85857,7,5.2,60568,25290,41114,46762,-5648,12205,8.9,9603
"2006",165796,12.2,9.5,135363,8368,6026,14571,1468,112900,8.3,6.2,77865,35035,52895,57498,-4603,13602,10.4,10877
"2007",190502,13.8,10.8,154794,10142,7419,16538,1609,132133,9.5,7.1,90550,41582,58369,64244,-5874,13842,11.9,11119
"2008",203193,13.8,9.7,156094,10890,20458,13902,1849,163133,11.1,6.8,110993,52141,40060,45101,-5041,14720,14.6,11184
"2009",200764,13.1,8.5,154840,10329,20777,12863,1955,187951,12.2,7.2,120939,67012,12813,33901,-21088,15380,13.3,14139
"2010",179523,11.4,6.1,137831,9589,18292,11980,1830,187291,11.9,6.4,118762,68529,-7768,19070,-26838,15738,12.6,14905
"2011",180856,11.5,3.9,142793,9103,16603,10787,1571,173918,11.1,5.6,111709,62209,6938,31084,-24146,15677,11.7,14804
"2012",188200,12,3.3,151452,9171,16311,9489,1777,170690,10.9,5.4,111194,59496,17510,40258,-22748,15632,11.6,14748
"2013",192856,12.3,2.6,154708,9599,16732,9885,1932,169061,10.7,5.1,108386,60675,23795,46322,-22527,15728,11.5,14744
