"Ar","Eignir alls","Eignir medaltal","Eignir midgildi","Fasteignir","Okutæki","Innlan","Verdbrjef","Adrar eignir","Skuldir alls","Skuldir medaltal","Skuldir midgildi","Ibudarlan","Adrar skuldir","Eigid fje alls (eignir – skuldir)","Eigid fje í fasteign","Eigid fje annad","Fjoldi í hop","Skuldsettir, medaltal skulda","Fjoldi skuldsettra"
"1997",353590,12.7,10.1,219813,28783,29007,52886,23101,75586,2.7,1.3,43315,32271,278004,176498,101506,27904,3.7,20191
"1998",381049,13.5,10.6,229812,31904,33882,64194,21256,87859,3.1,1.5,48017,39842,293190,181795,111395,28148,4.2,20883
"1999",428626,15.4,12.2,266142,34864,40567,65540,21514,93716,3.4,1.8,55252,38464,334910,210890,124020,27909,4.4,21179
"2000",480242,17,13.5,303362,38230,49994,66522,22133,109054,3.9,2.2,63393,45662,371187,239969,131218,28246,5.1,21470
"2001",542310,19.2,15.4,353325,38494,56783,68832,24876,123470,4.4,2.6,74002,49468,418840,279323,139516,28251,5.7,21626
"2002",578636,20,16.1,378813,39127,67281,72161,21254,134042,4.6,2.9,83508,50534,444594,295305,149289,28868,6,22260
"2003",658112,22.2,17.6,429616,42300,78455,85407,22334,151375,5.1,3.4,95820,55555,506737,333796,172941,29633,6.6,22928
"2004",758291,25.2,19.8,504839,46888,83986,99459,23119,178600,5.9,3.9,109914,68686,579690,394925,184766,30145,7.6,23382
"2005",980872,31.9,25.2,679017,55862,91073,130943,23976,215836,7,4.4,130369,85468,765036,548648,216387,30781,9.2,23549
"2006",1055478,36.3,27.7,704568,57237,102665,167294,23713,230848,7.9,4.6,134705,96143,824630,569863,254766,29081,10.6,21678
"2007",1269220,42.6,31.5,820580,65371,126177,230730,26362,283535,9.5,5.4,158734,124801,985685,661845,323839,29768,12.7,22387
"2008",1426508,46.5,34.5,865768,71764,310120,152449,26407,365237,11.9,6.1,202145,163092,1061270,663622,397648,30708,16.6,22010
"2009",1494679,47.8,35.4,917108,70922,298138,181945,26567,434753,13.9,7.5,230954,203799,1059926,686154,373773,31279,14.7,29584
"2010",1387989,43.8,32.8,853853,70188,253152,183047,27749,444551,14,7.6,243399,201152,943438,610455,332983,31713,14.4,30800
"2011",1482899,45.9,35.2,965024,71977,231609,184144,30146,434947,13.5,7.9,252614,182333,1047952,712410,335543,32273,14,31088
"2012",1595398,48.1,37.3,1079197,76110,221642,186102,32347,456675,13.8,8.2,274391,182284,1138722,804806,333917,33184,14.3,32000
"2013",1681630,49.3,38.7,1156837,80572,221586,188698,33937,472192,13.9,8.3,291410,180782,1209438,865428,344010,34090,14.4,32860
