"Ar","Eignir alls","Eignir medaltal","Eignir midgildi","Fasteignir","Okutæki","Innlan","Verdbrjef","Adrar eignir","Skuldir alls","Skuldir medaltal","Skuldir midgildi","Ibudarlan","Adrar skuldir","Eigid fje alls (eignir – skuldir)","Eigid fje í fasteign","Eigid fje annad","Fjoldi í hop","Skuldsettir, medaltal skulda","Fjoldi skuldsettra"
"1997",278020,9.7,8.4,207226,27157,6685,23600,13352,160301,5.6,5.2,112318,47983,117719,94908,22811,28762,5.9,27135
"1998",293518,10.6,9,213258,29523,8911,30157,11668,170166,6.1,5.7,116946,53220,123352,96312,27040,27735,6.4,26405
"1999",335292,12,10.3,247698,33632,11938,30462,11562,194339,7,6.5,134146,60193,140953,113552,27401,27876,7.3,26555
"2000",378301,13.4,11.4,283479,37009,12854,32841,12118,219442,7.7,7.1,149600,69841,158859,133879,24980,28320,8.1,27085
"2001",424590,14.8,12.8,327030,35528,14684,34195,13153,252025,8.8,8,173356,78668,172565,153674,18891,28645,9.2,27415
"2002",446799,15.5,13.5,348914,34584,17848,34062,11392,264628,9.2,8.5,186258,78370,182171,162656,19516,28759,9.6,27482
"2003",499377,17,14.8,395471,35434,20212,36425,11835,294327,10,9.3,206731,87596,205050,188740,16310,29440,10.4,28219
"2004",570851,19.7,17,457352,37765,24101,39359,12274,337979,11.6,10.5,227946,110033,232872,229406,3466,29038,12.2,27779
"2005",752467,25.8,22,606806,45510,28369,58975,12807,406142,13.9,12.2,266761,139381,346325,340045,6280,29143,14.6,27781
"2006",953417,29.9,24.7,744049,57286,38603,96328,17151,528112,16.5,14.2,333356,194756,425304,410693,14612,31913,17.4,30431
"2007",1139728,35.2,28.1,859315,67172,56047,137882,19311,641176,19.8,16.6,395344,245832,498552,463971,34581,32349,20.8,30827
"2008",1184258,36,29,868865,69608,135580,86205,24000,815592,24.8,20.1,513531,302060,368666,355333,13333,32854,26.8,30430
"2009",1176731,35.8,28.7,870927,64138,131644,87507,22514,902872,27.5,22.3,559929,342943,273859,310998,-37140,32839,28.1,32141
"2010",1046619,32.2,25.6,763990,59748,111254,89560,22067,862718,26.6,22.1,556870,305847,183902,207120,-23218,32473,27,31991
"2011",1078943,33.6,27.2,820757,56963,96628,81760,22835,795603,24.8,21.9,531121,264482,283341,289636,-6296,32115,25.1,31658
"2012",1116917,35,28.6,871980,57456,85232,79884,22365,799487,25.1,22.4,538309,261178,317430,333672,-16242,31885,25.4,31482
"2013",1121529,35.3,29.4,893482,57787,83750,69366,17144,785242,24.7,22.6,539188,246053,336287,354293,-18006,31738,25.1,31280
