"Ar","Eignir alls","Eignir medaltal","Eignir midgildi","Fasteignir","Okutæki","Innlan","Verdbrjef","Adrar eignir","Skuldir alls","Skuldir medaltal","Skuldir midgildi","Ibudarlan","Adrar skuldir","Eigid fje alls (eignir – skuldir)","Eigid fje í fasteign","Eigid fje annad","Fjoldi í hop","Skuldsettir, medaltal skulda","Fjoldi skuldsettra"
"1997",580178,6.7,4.7,404131,44848,36604,75550,19046,231258,2.7,0.8,155557,75701,348921,248574,100347,87073,4.3,53427
"1998",636912,7,4.7,433055,49909,42893,95597,15458,261047,2.8,0.9,171823,89224,375866,261232,114633,91623,4.6,56482
"1999",755168,8.1,5.7,526301,58732,55200,97765,17171,301247,3.2,1.1,202986,98261,453921,323315,130607,93205,5.1,58949
"2000",867650,9.1,6.5,615466,65880,65975,102469,17860,347581,3.6,1.3,231741,115841,520068,383725,136343,95706,5.7,60885
"2001",1002012,10.2,7.7,732725,65165,76497,107312,20312,405795,4.1,1.5,274383,131411,596217,458342,137876,98241,6.5,62603
"2002",1072196,10.8,8.4,790223,64313,91311,109849,16500,434858,4.4,1.7,301143,133715,637338,489080,148258,98975,6.8,63844
"2003",1209095,11.9,9.2,893050,67191,106482,125512,16859,489485,4.8,2,339616,149869,719610,553435,166175,101519,7.4,66091
"2004",1397712,13.7,10.5,1043433,73676,117234,145455,17914,567346,5.6,2.2,382600,184746,830366,660833,169533,101978,8.5,66520
"2005",1858966,17.8,13.6,1419303,90318,131402,198333,19610,688621,6.6,2.2,447815,240805,1170345,971488,198857,104461,10.2,67537
"2006",2143023,19.6,13.9,1595211,102618,155507,266764,22923,832584,7.6,2.2,524116,308468,1310439,1071095,239344,109575,11.9,69753
"2007",2574930,22.4,14.5,1852105,119737,195969,381513,25605,1011925,8.8,2.2,624504,387421,1563004,1227601,335403,115005,14.1,71969
"2008",2755785,23.1,13.9,1880693,127259,465928,251495,30411,1245909,10.4,1.8,781242,464667,1509877,1099451,410425,119248,17.8,70018
"2009",2800409,23.5,14,1917884,120896,448693,283504,29432,1407279,11.8,2.7,855714,551565,1393130,1062169,330961,118966,15.1,93070
"2010",2555592,21.3,12.1,1730439,115721,384757,295383,29293,1412513,11.8,2.9,862857,549656,1143080,867582,275497,120185,14.1,99972
"2011",2682086,22.4,12.9,1893348,114460,354749,290287,29243,1332300,11.1,2.8,842147,490152,1349786,1051201,298586,119786,13.5,98544
"2012",2864602,23.5,13,2092418,119468,334347,288781,29588,1362312,11.2,2.8,872835,489477,1502290,1219583,282708,122081,13.4,101312
"2013",2965893,24.1,12.8,2197651,124408,336721,282163,24950,1362143,11,2.6,884853,477289,1603751,1312798,290953,123278,13.4,101456
