"Ar","Eignir alls","Eignir medaltal","Eignir midgildi","Fasteignir","Okutæki","Innlan","Verdbrjef","Adrar eignir","Skuldir alls","Skuldir medaltal","Skuldir midgildi","Ibudarlan","Adrar skuldir","Eigid fje alls (eignir – skuldir)","Eigid fje í fasteign","Eigid fje annad","Fjoldi í hop","Skuldsettir, medaltal skulda","Fjoldi skuldsettra"
"1997",17406,0.5,0,9250,4437,1577,1792,349,12395,0.4,0,7976,4418,5011,1274,3737,35000,1.6,7949
"1998",19705,0.6,0,10555,5112,1823,2005,209,14436,0.4,0,9076,5361,5268,1479,3789,35336,1.7,8650
"1999",23364,0.7,0,13098,5888,2029,2145,203,17957,0.5,0,11322,6634,5407,1776,3631,35772,1.9,9393
"2000",24745,0.7,0,13865,6302,2269,2028,282,19458,0.5,0,11892,7566,5287,1972,3315,36131,2,9583
"2001",25949,0.7,0,15942,5379,2412,1899,318,20432,0.6,0,13119,7312,5518,2822,2695,36054,2.2,9135
"2002",27587,0.8,0,18043,4962,2641,1684,257,22435,0.6,0,15035,7400,5152,3008,2144,35929,2.4,9217
"2003",31584,0.9,0,21883,4754,3006,1665,275,25395,0.7,0,17658,7738,6189,4225,1963,36071,2.7,9390
"2004",37289,1,0,26008,5356,3499,2132,294,30108,0.8,0,20511,9598,7181,5498,1683,36088,3.2,9344
"2005",44995,1.2,0,31936,6792,3682,2187,399,34454,0.9,0,22826,11628,10541,9110,1431,36700,3.6,9665
"2006",46496,1.2,0,31308,7636,4267,2740,546,38311,1,0,23517,14794,8185,7791,394,38294,3.7,10411
"2007",56294,1.4,0,36317,9700,5392,4094,791,46671,1.2,0,28383,18288,9623,7934,1689,39850,4.2,11223
"2008",62556,1.5,0.3,28909,8997,21946,1946,757,46400,1.1,0,26020,20380,16157,2890,13267,41738,4.9,9451
"2009",55750,1.4,0.3,21729,7044,23520,2823,634,42095,1,0,19582,22513,13655,2146,11509,41193,2.4,17599
"2010",49868,1.2,0.3,16630,5936,23839,2924,539,33638,0.8,0,14979,18660,16229,1651,14578,41390,1.7,19931
"2011",48640,1.2,0.3,15964,5710,23213,3236,518,29005,0.7,0,12759,16246,19636,3205,16431,40042,1.6,18711
"2012",51663,1.3,0.3,17625,6266,23875,3402,495,29100,0.7,0,12190,16910,22563,5435,17128,40571,1.5,19637
"2013",52057,1.3,0.4,17310,6552,25014,2708,472,27787,0.7,0,11310,16477,24269,6000,18269,40862,1.5,18276
