"Ar","Eignir alls","Eignir medaltal","Eignir midgildi","Fasteignir","Okutæki","Innlan","Verdbrjef","Adrar eignir","Skuldir alls","Skuldir medaltal","Skuldir midgildi","Ibudarlan","Adrar skuldir","Eigid fje alls (eignir – skuldir)","Eigid fje í fasteign","Eigid fje annad","Fjoldi í hop","Skuldsettir, medaltal skulda","Fjoldi skuldsettra"
"1997",201098,9,6.5,113779,9975,32776,33034,11532,16284,0.7,0,10525,5758,184814,103254,81560,22465,2.1,7787
"1998",217626,9.5,6.9,120741,10715,36941,38931,10297,19864,0.9,0,11917,7947,197762,108824,88938,22931,2.4,8404
"1999",246912,10.6,7.9,140961,11997,42882,40238,10833,20911,0.9,0,14058,6853,226001,126903,99097,23214,2.3,8915
"2000",277449,11.9,8.9,162401,13168,49229,41740,10911,24185,1,0,16107,8078,253264,146294,106970,23261,2.6,9127
"2001",322031,13.8,10.5,196709,13773,57807,41050,12692,28275,1.2,0,19256,9019,293756,177453,116303,23418,3,9515
"2002",344088,14.5,11,210051,14453,64863,43818,10904,31084,1.3,0,21669,9414,313005,188381,124623,23760,3.1,9899
"2003",387847,16.1,12.1,235219,15829,73355,52036,11409,35770,1.5,0,24958,10813,352077,210261,141816,24119,3.5,10277
"2004",436917,18,13.5,269070,17656,79699,58695,11797,40991,1.7,0,28021,12970,395927,241049,154877,24275,3.9,10406
"2005",544458,22.1,16.7,353329,20428,86455,72175,12072,48059,2,0,31567,16492,496399,321762,174637,24617,4.7,10219
"2006",628694,25.2,18.6,398453,22919,99566,95024,12732,57812,2.3,0,36589,21223,570882,361864,209018,24904,5.6,10368
"2007",741312,29.4,21,458861,26177,116087,126045,14143,70731,2.8,0,43032,27699,670581,415829,254752,25242,6.6,10741
"2008",850109,32.9,23.8,481002,28678,247918,78377,14135,85031,3.3,0,51715,33316,765078,429287,335791,25837,8.2,10316
"2009",913817,34.6,24.9,524644,30049,246984,97430,14711,109139,4.1,0.2,62608,46531,804679,462037,342642,26429,5.5,19814
"2010",864356,32.1,23,494155,31022,217548,106466,15166,121465,4.5,0.4,70388,51078,742891,423767,319123,26916,5.3,23030
"2011",949857,34.5,24.7,565896,32880,216234,118978,15869,131080,4.8,0.3,78487,52593,818778,487409,331369,27516,5.9,22118
"2012",1040321,36.2,26.4,645308,36167,213636,127879,17331,143684,5,0.4,88789,54895,896637,556519,340118,28720,6,23807
"2013",1119028,37.4,27.4,705460,39196,217579,138288,18504,155202,5.2,0.4,98317,56886,963825,607143,356682,29905,6.1,25246
