,"Tekjur alls","Tekjur, meðaltal","Tekjur, miðgildi","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Skattar","Vaxta- og barnabætur","Skattar alls (skattar + vaxta- og barnabætur)","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Heildartekjur -Skattar alls)","Ráðstöfunartekjur (Heildartekjur -Skattar alls -Vaxtagjöld alls)","Fjöldi í hóp"
"1997",28775,3.2,2.8,24778,2579,1418,6981,-290,6691,1217,373,22084,20493,9025
"1998",32905,3.6,3.1,28336,2918,1651,7994,-303,7691,1387,398,25214,23429,9227
"1999",38508,4,3.5,32138,4526,1844,9336,-311,9025,1625,488,29483,27370,9513
"2000",44531,4.5,3.8,36519,5559,2453,10911,-373,10538,1967,707,33993,31319,9996
"2001",50873,4.9,4.2,42031,5940,2902,12870,-433,12437,2386,921,38437,35130,10365
"2002",55383,5.2,4.4,46855,5471,3057,13758,-496,13262,2777,1051,42120,38293,10688
"2003",64876,5.8,4.6,50974,10224,3679,15472,-507,14965,3087,1134,49911,45691,11237
"2004",67804,5.9,4.8,54278,9279,4247,16588,-491,16097,3721,1214,51708,46773,11519
"2005",82066,6.7,5.1,61576,16079,4411,18617,-469,18147,3895,1577,63919,58446,12165
"2006",98609,7.5,5.4,70746,22784,5080,21338,-719,20619,4026,2106,77990,71858,13180
"2007",121070,8.9,5.8,78782,36136,6153,24022,-909,23113,4693,2947,97957,90317,13531
"2008",118174,8.4,6.3,86436,24432,7306,25315,-1308,24007,6055,4116,94167,83995,14018
"2009",117510,8.3,6.5,85815,18412,13283,26504,-1576,24928,6999,6882,92582,78702,14086
"2010",112510,7.9,6.3,88743,10823,12943,27994,-2264,25730,7339,6201,86780,73240,14164
"2011",119434,8.5,6.7,94204,10482,14748,31273,-1846,29427,6741,4482,90007,78784,14014
"2012",124898,8.8,7,101311,10029,13558,33217,-1377,31840,7495,4398,93058,81165,14223
"2013",132372,9.2,7.3,108481,11238,12653,35580,-1275,34305,8528,4804,98067,84735,14425
