,"Tekjur alls","Tekjur, meðaltal","Tekjur, miðgildi","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Skattar","Vaxta- og barnabætur","Skattar alls (skattar + vaxta- og barnabætur)","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Heildartekjur -Skattar alls)","Ráðstöfunartekjur (Heildartekjur -Skattar alls -Vaxtagjöld alls)","Fjöldi í hóp"
"1997",89226,1.1,0.9,66381,5134,17711,15571,-829,14742,2807,707,74483,70969,79420
"1998",101263,1.2,1,76397,5428,19438,18372,-900,17471,3191,821,83791,79779,81521
"1999",115401,1.4,1.1,85536,8405,21460,21535,-984,20551,3838,1088,94850,89924,82938
"2000",131360,1.6,1.2,97504,10110,23745,25267,-1084,24183,4482,1563,107176,101131,84591
"2001",147287,1.7,1.3,109268,11929,26090,29922,-1157,28765,5131,1886,118522,111505,86197
"2002",154853,1.8,1.4,112202,11960,30691,30750,-1325,29425,5917,2188,125428,117324,86665
"2003",166115,1.9,1.4,115748,16012,34356,32734,-1276,31458,6537,2250,134657,125869,87938
"2004",180384,2,1.6,126436,17217,36731,36873,-1360,35513,7895,2457,144872,134520,89903
"2005",213545,2.3,1.7,147979,26415,39151,42080,-1275,40806,9040,3214,172739,160485,94627
"2006",255362,2.5,1.9,179461,33939,41961,50481,-1437,49044,8778,4506,206318,193033,101849
"2007",302935,2.8,2.1,203230,51183,48522,55806,-1866,53940,10585,5815,248995,232595,106312
"2008",330515,3,2.3,220791,53511,56212,61958,-2654,59304,12707,6870,271211,251634,110001
"2009",310067,2.9,2.3,189405,41254,79409,57064,-2889,54176,14106,13180,255891,228606,106527
"2010",291306,2.7,2.2,192879,20750,77677,56577,-4880,51697,14159,11230,239609,214220,106762
"2011",310794,2.9,2.4,208362,19313,83120,64505,-4022,60483,12636,8770,250312,228906,105825
"2012",336340,3.1,2.6,228429,21492,86419,70381,-2634,67747,13905,8828,268593,245860,108394
"2013",364763,3.3,2.7,249342,24137,91285,77097,-2480,74617,15468,9226,290146,265452,111675
