,"Tekjur alls","Tekjur, meðaltal","Tekjur, miðgildi","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Skattar","Vaxta- og barnabætur","Skattar alls (skattar + vaxta- og barnabætur)","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Heildartekjur -Skattar alls)","Ráðstöfunartekjur (Heildartekjur -Skattar alls -Vaxtagjöld alls)","Fjöldi í hóp"
"1997",91946,3.3,2.8,68566,10035,13345,19809,-552,19257,2981,1030,72689,68677,27904
"1998",102187,3.6,3.1,76562,10733,14892,22369,-576,21793,3328,1141,80394,75924,28148
"1999",114903,4.1,3.5,82176,15688,17038,25163,-571,24592,3785,1322,90312,85205,27909
"2000",128741,4.6,3.8,89608,19688,19444,28492,-614,27878,4381,1711,100863,94771,28246
"2001",147223,5.2,4.3,98898,25566,22759,33262,-673,32589,5036,2164,114634,107434,28251
"2002",157522,5.5,4.4,107594,24372,25556,34747,-798,33948,5871,2368,123574,115336,28868
"2003",180678,6.1,4.7,115053,36603,29022,39100,-804,38295,6462,2438,142383,133483,29633
"2004",197796,6.6,5.1,124050,41880,31866,43341,-798,42543,7822,2863,155253,144568,30145
"2005",238959,7.8,5.6,138730,65937,34292,48012,-680,47331,8143,3485,191628,180000,30781
"2006",251259,8.6,6.1,136012,77450,37797,48311,-747,47564,7261,4134,203695,192300,29081
"2007",321436,10.8,6.8,152039,125010,44387,56331,-969,55362,8329,5320,266074,252425,29768
"2008",311664,10.1,7.8,168181,91388,52095,59778,-1530,58248,10835,7633,253416,234948,30708
"2009",303188,9.7,7.8,166480,64384,72325,64110,-1885,62225,12361,14691,240963,213911,31279
"2010",272288,8.6,7.3,172656,32611,67021,63672,-2918,60754,12637,13523,211534,185374,31713
"2011",295761,9.2,7.8,189007,30514,76240,73742,-2457,71285,12460,8936,224476,203080,32273
"2012",323950,9.8,8.2,207064,35951,80935,82283,-1379,80904,13918,8581,243046,220548,33184
"2013",353547,10.4,8.6,224618,42921,86009,90491,-1285,89206,16003,9626,264341,238711,34090
