,"Tekjur alls","Tekjur, meðaltal","Tekjur, miðgildi","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Skattar","Vaxta- og barnabætur","Skattar alls (skattar + vaxta- og barnabætur)","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Heildartekjur -Skattar alls)","Ráðstöfunartekjur (Heildartekjur -Skattar alls -Vaxtagjöld alls)","Fjöldi í hóp"
"1997",108032,3.8,3.4,96017,7140,4875,24873,-3985,20888,7283,1259,87144,78602,28762
"1998",118295,4.3,3.9,104990,8172,5133,27494,-3543,23951,7600,1359,94344,85385,27735
"1999",132720,4.8,4.3,115356,11495,5868,30943,-3356,27587,8435,1695,105133,95003,27876
"2000",148249,5.2,4.7,127851,13966,6431,35080,-3987,31092,9655,2433,117157,105069,28320
"2001",165596,5.8,5.2,145155,13595,6846,40726,-4234,36492,10997,3011,129104,115097,28645
"2002",180372,6.3,5.5,157395,15955,7022,43434,-4790,38645,12258,3408,141728,126061,28759
"2003",191486,6.5,5.8,166625,16209,8652,46305,-4653,41651,13128,3492,149835,133215,29440
"2004",206976,7.1,6.1,174985,22570,9421,50133,-4427,45705,15551,4036,161270,141683,29038
"2005",241658,8.3,6.7,194975,37356,9327,55711,-4667,51044,16007,5393,190614,169213,29143
"2006",303720,9.5,7.4,235641,57135,10944,67423,-5987,61436,16780,8485,242283,217018,31913
"2007",367508,11.4,8.2,269809,84729,12970,77088,-7273,69815,19575,11314,297693,266804,32349
"2008",361167,11,8.9,287762,58930,14476,79858,-9591,70267,25052,14078,290901,251772,32854
"2009",346626,10.6,9,271499,42225,32902,79015,-10366,68649,27678,22463,277977,227836,32839
"2010",324043,10,8.9,273409,21937,28697,80489,-11732,68757,27706,17481,255287,210099,32473
"2011",344137,10.7,9.4,290214,20506,33417,90031,-9517,80514,24253,11172,263622,228197,32115
"2012",356302,11.2,9.9,307479,20127,28696,94216,-8415,85801,25372,10369,270501,234759,31885
"2013",376371,11.9,10.4,326952,23625,25794,99598,-7435,92163,27827,10781,284208,245600,31738
