,"Tekjur alls","Tekjur, meðaltal","Tekjur, miðgildi","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Skattar","Vaxta- og barnabætur","Skattar alls (skattar + vaxta- og barnabætur)","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Heildartekjur -Skattar alls)","Ráðstöfunartekjur (Heildartekjur -Skattar alls -Vaxtagjöld alls)","Fjöldi í hóp"
"1997",116252,2,1.5,93622,7823,14807,22650,-2684,19966,4440,1311,96286,90535,58190
"1998",123564,2.2,1.7,100406,7757,15401,24581,-2498,22084,4611,1449,101480,95420,55059
"1999",133656,2.4,1.8,105985,10755,16916,26385,-2493,23892,4997,1727,109764,103040,55288
"2000",146733,2.6,2,114862,12688,19184,29175,-3004,26171,5800,2250,120562,112512,55799
"2001",164145,2.9,2.2,127984,14640,21521,34374,-3185,31189,6380,2715,132956,123861,55859
"2002",177230,3.1,2.3,137498,15348,24384,36864,-3592,33272,7210,3006,143958,133742,56662
"2003",188097,3.3,2.4,142054,18434,27610,38891,-3578,35312,7762,3234,152785,141789,57357
"2004",203392,3.5,2.5,152141,21356,29895,42798,-3568,39230,9270,3522,164162,151371,58968
"2005",233202,3.7,2.7,171053,30111,32038,47162,-3964,43198,10163,4336,190003,175504,62295
"2006",278187,4.2,2.9,199467,43910,34811,55598,-4872,50727,10196,5904,227461,211360,66870
"2007",320802,4.8,3.2,215991,63873,40938,59043,-5841,53203,12045,7821,267600,247734,67266
"2008",343903,5,3.5,237760,58037,48106,66430,-7530,58900,15142,9874,285003,259987,69035
"2009",341924,5.1,3.7,227601,44501,69822,67774,-7991,59783,17157,17638,282142,247346,67059
"2010",322686,4.9,3.6,234635,22023,66028,68496,-8965,59531,17113,15050,263155,230992,66501
"2011",343789,5.2,3.8,251414,19708,72667,77654,-7531,70124,15350,10284,273665,248031,66104
"2012",367573,5.5,4,269458,23234,74881,83946,-6814,77132,16639,9959,290440,263842,67014
"2013",394897,5.7,4.1,290988,25680,78229,90470,-6358,84112,18751,10710,310784,281323,69953
