,"Tekjur alls","Tekjur, meðaltal","Tekjur, miðgildi","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Skattar","Vaxta- og barnabætur","Skattar alls (skattar + vaxta- og barnabætur)","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Heildartekjur -Skattar alls)","Ráðstöfunartekjur (Heildartekjur -Skattar alls -Vaxtagjöld alls)","Fjöldi í hóp"
"1997",36250,1.6,1.2,9644,5228,21378,5329,-150,5178,667,207,31072,30198,22465
"1998",40119,1.7,1.3,10681,5383,24055,6198,-157,6041,781,234,34078,33063,22931
"1999",45856,2,1.5,10854,8093,26909,7409,-160,7250,920,269,38606,37417,23214
"2000",51143,2.2,1.6,11069,10447,29627,8454,-168,8286,1048,332,42858,41478,23261
"2001",58042,2.5,1.8,11765,12864,33413,10093,-173,9919,1221,403,48123,46499,23418
"2002",62492,2.6,1.9,12438,12377,37678,10641,-210,10431,1429,445,52061,50187,23760
"2003",73160,3,2,12943,19122,41094,12690,-197,12493,1597,456,60667,58613,24119
"2004",77576,3.2,2.2,13565,20005,44007,14043,-199,13845,1900,529,63732,61303,24275
"2005",89525,3.6,2.3,14231,27732,47562,14529,-157,14371,1973,644,75154,72537,24617
"2006",104014,4.2,2.6,15347,35899,52769,16533,-216,16317,2016,856,87698,84825,24904
"2007",137026,5.4,3.1,17006,59311,60709,20021,-316,19705,2326,1092,117321,113903,25242
"2008",141475,5.5,3.8,18973,55722,66780,21753,-434,21320,2853,1529,120155,115774,25837
"2009",134887,5.1,3.8,19716,38940,76231,22953,-571,22382,3380,3171,112505,105954,26429
"2010",121283,4.5,3.5,21471,21790,78022,23069,-842,22226,3606,2890,99057,92561,26916
"2011",130866,4.8,3.7,23709,20499,86658,27313,-851,26462,3829,2519,104404,98056,27516
"2012",145016,5,3.9,27814,21890,95312,31176,-578,30598,4525,2589,114418,107304,28720
"2013",166326,5.6,4.2,31723,29375,105227,36692,-599,36093,5334,2901,130233,121998,29905
