"Breytingar á vísitölu neysluverðs frá 1988  "

" "	" "	"Vísitala neysluverðs"	" "
" "	" "	"Vísitala"	"Árshækkun síðustu 12 mánuði, %"
"Meðaltal ársins"
" "	"1998"	183.3	1.7
" "	"1999"	189.6	3.4
" "	"2000"	199.1	5.0
" "	"2001"	212.4	6.7
" "	"2002"	222.6	4.8
" "	"2003"	227.3	2.1
" "	"2004"	234.6	3.2
" "	"2005"	244.1	4.0
" "	"2006"	260.6	6.8
" "	"2007"	273.7	5.0
" "	"2008"	307.7	12.4
" "	"2009"	344.6	12.0
" "	"2010"	363.2	5.4
" "	"2011"	377.7	4.0
" "	"2012"	397.3	5.2
" "	"2013"	412.7	3.9
" "	"2014"	421.1	2.0
" "	"2015"	.	.

"Grunnur maí 1988 = 100. Frá janúar 2008 miðast vísitalan við verðlag "
"í að minnsta kosti vikutíma í kringum miðjan mánuð en fyrir þann tíma "
"var vísitalan miðuð við verðlag tvo fyrstu virka daga hvers mánaðar.  "

