,"Eignir alls","Fasteignir","Ökutæki","Innlán","Verðbréf","Aðrar eignir","Skuldir alls","Íbúðalán","Aðrar skuldir","Eigið fé alls (eignir - skuldir)","Eigið fé í fasteign","Eigið fé annað","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Tekjur alls","Skattar","Vaxta- og barnabætur","Skattar alls","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Tekjur alls -Skattar alls)","Ráðstöfunartekjur (Tekjur alls -Skattar alls - Vaxtagjöld)","Fjöldi í hóp"
"1997",7949,4562,372,1108,1557,350,5489,1226,4263,2460,3336,-876,1841,118,417,2377,42,-49,-7,51,34,2383,2298,14436
"1998",7318,4190,373,1073,1419,263,5463,1216,4247,1856,2974,-1119,2081,126,416,2624,57,-42,15,45,42,2609,2521,14587
"1999",7724,4361,471,1155,1442,295,5786,1352,4433,1938,3009,-1071,2393,142,484,3019,81,-53,28,74,54,2991,2863,14626
"2000",10552,6056,784,1297,1816,599,7554,1552,6002,2998,4504,-1506,3063,182,607,3852,107,-68,40,83,78,3812,3651,15006
"2001",12605,7248,636,1321,2802,597,8563,1760,6803,4041,5488,-1446,3152,175,614,3941,124,-61,63,98,88,3878,3693,15292
"2002",11599,7263,572,1669,1811,285,8192,1988,6204,3407,5275,-1868,2893,162,724,3779,70,-68,2,120,99,3777,3557,15489
"2003",11819,7482,589,1960,1534,254,11844,2196,9648,-25,5286,-5311,2947,162,747,3856,80,-57,23,124,99,3833,3609,15755
"2004",13865,8449,697,2245,2195,279,9548,2306,7243,4316,6143,-1827,3174,181,810,4164,143,-51,92,156,103,4072,3814,15989
"2005",18046,12083,798,2387,2450,328,10222,2531,7691,7824,9552,-1728,3892,215,865,4972,220,-50,169,181,141,4803,4481,16669
"2006",18252,12518,873,2167,2429,265,11174,3231,7943,7078,9287,-2209,4614,246,815,5675,321,-63,258,162,170,5417,5085,17645
"2007",23286,14586,1140,2251,4908,401,13414,3898,9516,9871,10687,-816,5175,277,892,6344,350,-80,270,210,204,6074,5660,18227
"2008",23725,14275,997,6666,1501,287,18058,5087,12971,5667,9188,-3520,4902,848,755,6505,308,-87,221,248,310,6284,5726,18829
"2009",32148,17394,1193,8664,4535,361,24590,6808,17782,7558,10586,-3028,3305,797,923,5026,338,-72,266,350,793,4760,3617,18603
"2010",33134,18512,1303,9571,3291,457,36353,9386,26967,-3219,9126,-12345,3386,767,833,4987,924,-86,838,466,942,4149,2741,18669
"2011",41006,23122,1413,10752,5120,599,38650,9029,29621,2356,14093,-11737,3790,633,1130,5553,305,-94,212,378,720,5342,4243,18589
"2012",90512,38876,2214,13187,30209,6025,53786,11580,42207,36725,27297,9429,4586,1159,1259,7004,2101,-115,1986,480,935,5018,3603,18910
"2013",92904,41492,2360,17069,30419,1564,52531,12697,39834,40373,28795,11578,5016,1384,1468,7868,2536,-105,2431,592,1005,5437,3840,19323
