,"Eignir alls","Fasteignir","Ökutæki","Innlán","Verðbréf","Aðrar eignir","Skuldir alls","Íbúðalán","Aðrar skuldir","Eigið fé alls (eignir - skuldir)","Eigið fé í fasteign","Eigið fé annað","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Tekjur alls","Skattar","Vaxta- og barnabætur","Skattar alls","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Tekjur alls -Skattar alls)","Ráðstöfunartekjur (Tekjur alls -Skattar alls - Vaxtagjöld)","Fjöldi í hóp"
"1997",61568,40199,5323,5494,5445,5107,21941,14990,6951,39627,25209,14418,15003,782,4415,20201,3247,-727,2520,840,189,17681,16653,14535
"1998",65476,41776,5827,6542,6504,4827,23021,15478,7543,42454,26298,16157,15927,864,5203,21995,3503,-741,2762,856,220,19233,18158,14668
"1999",74603,49511,6616,7171,6056,5249,26840,18422,8417,47763,31088,16675,17465,1076,5848,24388,4056,-781,3275,1046,280,21114,19788,14849
"2000",82543,56670,7402,7688,5743,5040,30837,20750,10088,51705,35920,15785,19793,1181,6461,27435,4779,-941,3838,1227,404,23598,21966,15150
"2001",96440,69768,7186,7896,6288,5302,35206,24294,10912,61235,45475,15760,22176,1289,7210,30675,5750,-1004,4746,1385,478,25929,24065,15410
"2002",102330,75237,7062,9190,6441,4399,40179,27593,12585,62151,47644,14507,23108,1197,8077,32381,5914,-1123,4790,1624,613,27591,25355,15563
"2003",114702,85625,7358,10201,6806,4712,46932,32893,14039,67770,52732,15038,25007,1257,8433,34697,6543,-1178,5366,1876,572,29331,26884,15888
"2004",127507,98376,7615,10398,6401,4716,53875,37612,16263,73632,60764,12867,26981,1427,9084,37492,7370,-1238,6132,2242,642,31361,28476,16095
"2005",158539,125135,8911,12042,8040,4409,63929,43443,20486,94610,81693,12917,30370,1629,9720,41719,8038,-1273,6765,2556,840,34954,31558,16676
"2006",165711,131382,9573,12904,7353,4499,72033,47350,24683,93678,84032,9647,35627,2116,10236,47978,9323,-1398,7925,2330,1126,40053,36598,17644
"2007",180466,140950,10790,14374,9570,4782,83626,55050,28577,96840,85900,10939,41343,2583,10293,54220,10167,-1540,8627,2682,1437,45593,41474,18228
"2008",193656,143629,11054,29268,5874,3830,101600,64341,37260,92056,79289,12767,44241,4653,12928,61822,11850,-1871,9979,3178,1823,51843,46843,18828
"2009",218611,156185,10895,36435,11420,3677,123876,73662,50214,94735,82523,12212,37950,4608,18804,61363,10880,-1986,8894,3599,3524,52469,45346,18602
"2010",206542,140388,10097,37567,14121,4369,122729,71162,51567,83813,69226,14587,36738,3046,19268,59052,10470,-2343,8127,3419,2859,50926,44647,18669
"2011",218760,151733,9849,36378,17088,3713,120865,72346,48518,97895,79386,18509,39591,2737,20331,62659,11932,-2082,9850,2981,2006,52808,47821,18589
"2012",227259,160166,10105,36721,16060,4206,118135,71824,46311,109124,88342,20782,43266,2801,20929,66995,12990,-1934,11056,3226,1978,55940,50735,18909
"2013",230115,161684,10449,37345,15884,4753,110722,68153,42569,119393,93531,25862,46420,2971,22393,71784,14003,-1825,12178,3292,1951,59606,54363,19323
